Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
3		350		12350		0.0276		1.6018		1
3		400		12400		0.0262		1.4520		1
3		450		12450		0.0345		1.0429		1
3		500		12500		0.0351		1.0024		1
3		550		12550		0.0145		0.5925		1
3		600		12600		0.0218		0.5095		1
3		650		12650		0.0179		0.4502		1
3		700		12700		0.0275		0.2948		1
3		750		12750		0.0815		0.8844		1
3		800		12800		0.0242		0.3321		1
3		850		12850		0.0389		0.4650		1
3		900		12900		0.0279		0.3177		1
3		950		12950		0.0266		0.3632		1
3		1000		13000		0.0245		0.2079		1
3		1050		13050		0.0173		0.3490		1
3		1100		13100		0.0212		0.1171		1
3		1150		13150		0.0286		0.2127		1
3		1200		13200		0.0330		0.4895		1
3		1250		13250		0.0437		0.5309		1
3		1300		13300		0.0243		0.1321		1
3		1350		13350		0.0383		0.2305		1
3		1400		13400		0.0374		0.2246		1
3		1450		13450		0.0184		0.1636		1
3		1500		13500		0.0167		0.0750		1
3		1550		13550		0.0190		0.0841		1
3		1600		13600		0.0330		0.2102		1
3		1650		13650		0.0194		0.2525		1
3		1700		13700		0.0148		0.1363		1
3		1750		13750		0.0458		0.3378		1
3		1800		13800		0.0190		0.0652		1
3		1850		13850		0.0309		0.0385		1
3		1900		13900		0.0205		0.0774		1
3		1950		13950		0.0237		0.0780		1
3		2000		14000		0.0271		0.1168		1
3		2050		14050		0.0361		0.1069		1
3		2100		14100		0.0322		0.0561		1
3		2150		14150		0.0159		0.1747		1
3		2200		14200		0.0236		0.1394		1
3		2250		14250		0.0193		0.0277		1
3		2300		14300		0.0240		0.1347		1
3		2350		14350		0.0472		0.1607		1
3		2400		14400		0.0206		0.0366		1
3		2450		14450		0.0289		0.0703		1
3		2500		14500		0.0180		0.2477		1
3		2550		14550		0.0253		0.2076		1
3		2600		14600		0.0195		0.0852		1
3		2650		14650		0.0200		0.0611		1
3		2700		14700		0.0201		0.0967		1
3		2750		14750		0.0401		0.0989		1
3		2800		14800		0.0290		0.0199		1
3		2850		14850		0.0335		0.0310		1
3		2900		14900		0.0294		0.1178		1
3		2950		14950		0.0348		0.1077		1
3		3000		15000		0.0151		0.1944		1
3		3050		15050		0.0220		0.0392		1
3		3100		15100		0.0205		0.0529		1
3		3150		15150		0.0210		0.0384		1
3		3200		15200		0.0262		0.0377		1
3		3250		15250		0.0244		0.2355		1
3		3300		15300		0.0200		0.0170		1
3		3350		15350		0.0305		0.0797		1
3		3400		15400		0.0275		0.3108		1
3		3450		15450		0.0413		0.1589		1
3		3500		15500		0.0237		0.1341		1
3		3550		15550		0.0161		0.0388		1
3		3600		15600		0.0156		0.0118		1
3		3650		15650		0.0158		0.0065		1
3		3700		15700		0.0413		0.1023		1
3		3750		15750		0.0291		0.0156		1
3		3800		15800		0.0173		0.0150		1
3		3850		15850		0.0223		0.0858		1
3		3900		15900		0.0188		0.0441		1
3		3950		15950		0.0128		0.0351		1
3		4000		16000		0.0273		0.0164		1
3		4050		16050		0.0280		0.0970		1
3		4100		16100		0.0151		0.1469		1
3		4150		16150		0.0136		0.0757		1
3		4200		16200		0.0170		0.0846		1
3		4250		16250		0.0163		0.0861		1
3		4300		16300		0.0331		0.0246		1
3		4350		16350		0.0161		0.0066		1
3		4400		16400		0.0178		0.0137		1
3		4450		16450		0.0203		0.2292		1
3		4500		16500		0.0205		0.0107		1
3		4550		16550		0.0275		0.0210		1
3		4600		16600		0.0310		0.1107		1
3		4650		16650		0.0136		0.1722		1
3		4700		16700		0.0225		0.0250		1
3		4750		16750		0.0272		0.1681		1
3		4800		16800		0.0391		0.0890		1
3		4850		16850		0.0239		0.0507		1
3		4900		16900		0.0132		0.0118		1
3		4950		16950		0.0194		0.0311		1
3		5000		17000		0.0171		0.0050		1
3		5050		17050		0.0118		0.1073		1
3		5100		17100		0.0213		0.0281		1
3		5150		17150		0.0290		0.2339		1
3		5200		17200		0.0505		0.0810		1
3		5250		17250		0.0242		0.0179		1
3		5300		17300		0.0286		0.1478		1
3		5350		17350		0.0210		0.0622		1
3		5400		17400		0.0227		0.0147		1
3		5450		17450		0.0185		0.0190		1
3		5500		17500		0.0448		0.2989		1
3		5550		17550		0.0224		0.0801		1
3		5600		17600		0.0265		0.0629		1
3		5650		17650		0.0141		0.0455		1
3		5700		17700		0.0263		0.0275		1
3		5750		17750		0.0154		0.0154		1
3		5800		17800		0.0429		0.0126		1
3		5850		17850		0.0117		0.0155		1
3		5900		17900		0.0169		0.0699		1
3		5950		17950		0.0323		0.0074		1
3		6000		18000		0.0216		0.0540		1
4		50		18050		0.0177		0.1303		1
4		100		18100		0.0286		0.0781		1
4		150		18150		0.0296		0.0350		1
4		200		18200		0.0464		0.0511		1
4		250		18250		0.0153		0.0315		1
4		300		18300		0.0172		0.2864		1
4		350		18350		0.0455		0.0402		1
4		400		18400		0.0188		0.0142		1
4		450		18450		0.0204		0.0080		1
4		500		18500		0.0217		0.0680		1
4		550		18550		0.0185		0.0111		1
4		600		18600		0.0184		0.0946		1
4		650		18650		0.0202		0.0637		1
4		700		18700		0.0221		0.0695		1
4		750		18750		0.0154		0.0270		1
4		800		18800		0.0228		0.0063		1
4		850		18850		0.0341		0.0415		1
4		900		18900		0.0309		0.0335		1
4		950		18950		0.0299		0.1242		1
4		1000		19000		0.0301		0.0740		1
4		1050		19050		0.0247		0.0437		1
4		1100		19100		0.0272		0.0817		1
4		1150		19150		0.0410		0.0225		1
4		1200		19200		0.0200		0.0059		1
4		1250		19250		0.0168		0.0013		1
4		1300		19300		0.0271		0.0467		1
4		1350		19350		0.0160		0.0099		1
4		1400		19400		0.0205		0.0273		1
4		1450		19450		0.0171		0.0969		1
4		1500		19500		0.0281		0.0829		1
4		1550		19550		0.0396		0.0677		1
4		1600		19600		0.0494		0.3563		1
4		1650		19650		0.0198		0.1321		1
4		1700		19700		0.0235		0.0617		1
4		1750		19750		0.0157		0.0520		1
4		1800		19800		0.0202		0.0171		1
4		1850		19850		0.0134		0.0457		1
4		1900		19900		0.0307		0.0302		1
4		1950		19950		0.0108		0.0093		1
4		2000		20000		0.0338		0.1303		1
4		2050		20050		0.0244		0.0713		1
4		2100		20100		0.0332		0.0059		1
4		2150		20150		0.0195		0.0698		1
4		2200		20200		0.0243		0.1873		1
4		2250		20250		0.0205		0.1104		1
4		2300		20300		0.0198		0.0189		1
4		2350		20350		0.0216		0.0952		1
4		2400		20400		0.0159		0.0171		1
4		2450		20450		0.0208		0.0394		1
4		2500		20500		0.0177		0.0075		1
4		2550		20550		0.0202		0.0195		1
4		2600		20600		0.0191		0.0572		1
